date,longitude,latitude,elevation_m,slope_degree,rainfall,temperature,soil_moisture,ndvi,evapotranspiration
2023-06-29,110.4200,-7.0300,0,7.3485,0.0000,25.3745,0.3000,0.5000,7.7303
2023-06-30,110.4200,-7.0300,0,7.3485,0.0000,25.7488,0.3000,0.5000,7.7574
2023-07-01,110.4200,-7.0300,0,7.3485,0.0354,25.7550,0.3000,0.5000,7.7576
2023-07-02,110.4200,-7.0300,0,7.3485,1.5849,24.7768,0.3000,0.5000,7.6763
2023-07-03,110.4200,-7.0300,0,7.3485,0.0000,25.2126,0.3000,0.5000,7.7187
2023-07-04,110.4200,-7.0300,0,7.3485,0.0000,25.4189,0.3000,0.5000,7.7336
2023-07-05,110.4200,-7.0300,0,7.3485,1.4303,25.5403,0.3000,0.5000,7.7324
2023-07-06,110.4200,-7.0300,0,7.3485,26.4120,25.2744,0.3000,0.5000,7.6693
2023-07-07,110.4200,-7.0300,0,7.3485,3.8205,23.8368,0.3000,0.5000,7.5930
2023-07-08,110.4200,-7.0300,0,7.3485,8.9506,24.0195,0.3000,0.5000,7.5708
2023-07-09,110.4200,-7.0300,0,7.3485,6.5957,25.3497,0.3000,0.5000,7.6831
2023-07-10,110.4200,-7.0300,0,7.3485,0.0081,25.3953,0.3000,0.5000,7.7318
2023-07-11,110.4200,-7.0300,0,7.3485,0.4471,24.8953,0.3000,0.5000,7.6927
2023-07-12,110.4200,-7.0300,0,7.3485,0.0000,24.4392,0.3000,0.5000,7.6629
2023-07-13,110.4200,-7.0300,0,7.3485,1.0264,25.0712,0.3000,0.5000,7.7014
2023-07-14,110.4200,-7.0300,0,7.3485,0.6387,24.7319,0.3000,0.5000,7.6796
2023-07-15,110.4200,-7.0300,0,7.3485,0.0479,25.1251,0.3000,0.5000,7.7120
2023-07-16,110.4200,-7.0300,0,7.3485,1.1942,24.5956,0.3000,0.5000,7.6659
2023-07-17,110.4200,-7.0300,0,7.3485,0.0000,24.5789,0.3000,0.5000,7.6729
2023-07-18,110.4200,-7.0300,0,7.3485,0.0000,25.0407,0.3000,0.5000,7.7063
2023-07-19,110.4200,-7.0300,0,7.3485,0.0000,24.0319,0.3000,0.5000,7.6335
2023-07-20,110.4200,-7.0300,0,7.3485,0.0000,24.3633,0.3000,0.5000,7.6574
2023-07-21,110.4200,-7.0300,0,7.3485,0.0000,24.3022,0.3000,0.5000,7.6530
2023-07-22,110.4200,-7.0300,0,7.3485,0.0001,25.1291,0.3000,0.5000,7.7126
2023-07-23,110.4200,-7.0300,0,7.3485,0.3618,24.9783,0.3000,0.5000,7.6993
2023-07-24,110.4200,-7.0300,0,7.3485,0.0000,24.5728,0.3000,0.5000,7.6725
2023-07-25,110.4200,-7.0300,0,7.3485,0.1239,25.0982,0.3000,0.5000,7.7096
2023-07-26,110.4200,-7.0300,0,7.3485,0.0000,24.5005,0.3000,0.5000,7.6673
2023-07-27,110.4200,-7.0300,0,7.3485,0.0002,23.8557,0.3000,0.5000,7.6207
2023-07-28,110.4200,-7.0300,0,7.3485,0.0000,24.1130,0.3000,0.5000,7.6393
2023-07-29,110.4200,-7.0300,0,7.3485,1.4484,24.2230,0.3000,0.5000,7.6373
2023-07-30,110.4200,-7.0300,0,7.3485,0.0009,23.9894,0.3000,0.5000,7.6304
2023-07-31,110.4200,-7.0300,0,7.3485,0.6875,24.9577,0.3000,0.5000,7.6955
2023-08-01,110.4200,-7.0300,0,7.3485,0.0000,25.6744,0.3000,0.5000,7.7520
2023-08-02,110.4200,-7.0300,0,7.3485,2.9857,25.8539,0.3000,0.5000,7.7564
2023-08-03,110.4200,-7.0300,0,7.3485,0.0517,25.5474,0.3000,0.5000,7.7425
2023-08-04,110.4200,-7.0300,0,7.3485,0.0000,25.2363,0.3000,0.5000,7.7204
2023-08-05,110.4200,-7.0300,0,7.3485,0.0000,25.6531,0.3000,0.5000,7.7504
2023-08-06,110.4200,-7.0300,0,7.3485,4.7148,25.4913,0.3000,0.5000,7.7063
2023-08-07,110.4200,-7.0300,0,7.3485,0.0013,25.4401,0.3000,0.5000,7.7351
2023-08-08,110.4200,-7.0300,0,7.3485,0.0000,25.3695,0.3000,0.5000,7.7300
2023-08-09,110.4200,-7.0300,0,7.3485,0.0000,25.0214,0.3000,0.5000,7.7049
